Date,High,Low,Open,Close,Volume,Adj Close
2012-01-03,29.5,27.649999618530273,28.940000534057617,28.079999923706055,928100,28.079999923706055
2012-01-04,28.670000076293945,27.5,28.209999084472656,27.709999084472656,630100,27.709999084472656
2012-01-05,27.93000030517578,26.850000381469727,27.760000228881836,27.1200008392334,1005500,27.1200008392334
2012-01-06,27.790000915527344,26.40999984741211,27.200000762939453,26.90999984741211,986300,26.90999984741211
2012-01-09,27.489999771118164,26.1200008392334,27.0,27.25,897000,27.25
2012-01-10,27.760000228881836,27.25,27.440000534057617,27.6200008392334,671800,27.6200008392334
2012-01-11,28.3799991607666,27.299999237060547,27.6200008392334,28.229999542236328,672300,28.229999542236328
2012-01-12,28.6200008392334,27.809999465942383,28.479999542236328,28.25,729300,28.25
2012-01-13,28.5,22.639999389648438,28.399999618530273,22.790000915527344,5500400,22.790000915527344
2012-01-17,27.34000015258789,26.40999984741211,26.6200008392334,26.600000381469727,4651600,26.600000381469727
2012-01-18,26.8799991607666,26.25,26.690000534057617,26.809999465942383,1260200,26.809999465942383
2012-01-19,27.739999771118164,26.610000610351562,27.190000534057617,26.760000228881836,1246300,26.760000228881836
2012-01-20,27.0,26.399999618530273,26.899999618530273,26.600000381469727,662300,26.600000381469727
2012-01-23,27.209999084472656,26.600000381469727,26.809999465942383,26.770000457763672,594600,26.770000457763672
2012-01-24,27.68000030517578,26.440000534057617,26.6299991607666,27.420000076293945,858000,27.420000076293945
2012-01-25,28.010000228881836,27.049999237060547,27.270000457763672,27.969999313354492,611200,27.969999313354492
2012-01-26,29.579999923706055,28.0,28.06999969482422,28.940000534057617,1271100,28.940000534057617
2012-01-27,29.719999313354492,28.5,28.5,29.329999923706055,748400,29.329999923706055
2012-01-30,29.610000610351562,28.530000686645508,29.489999771118164,29.56999969482422,729000,29.56999969482422
2012-01-31,30.0,28.8700008392334,29.899999618530273,29.06999969482422,956400,29.06999969482422
2012-02-01,29.700000762939453,29.0,29.06999969482422,29.579999923706055,523200,29.579999923706055
2012-02-02,30.8799991607666,29.610000610351562,29.719999313354492,30.25,805700,30.25
2012-02-03,31.329999923706055,30.25,30.40999984741211,31.149999618530273,764500,31.149999618530273
2012-02-06,31.899999618530273,31.049999237060547,31.100000381469727,31.799999237060547,652100,31.799999237060547
2012-02-07,31.799999237060547,30.81999969482422,31.799999237060547,31.600000381469727,1021600,31.600000381469727
2012-02-08,32.0099983215332,31.290000915527344,31.600000381469727,31.93000030517578,623700,31.93000030517578
2012-02-09,32.900001525878906,31.43000030517578,32.0,32.58000183105469,1277100,32.58000183105469
2012-02-10,32.27000045776367,29.84000015258789,32.2599983215332,31.100000381469727,1874200,31.100000381469727
2012-02-13,32.060001373291016,30.899999618530273,31.549999237060547,31.489999771118164,1157900,31.489999771118164
2012-02-14,33.790000915527344,31.399999618530273,31.739999771118164,33.16999816894531,1810800,33.16999816894531
2012-02-15,34.40999984741211,32.27000045776367,33.099998474121094,33.599998474121094,2761800,33.599998474121094
